gpu,memory,core_clock,boost_clock,boost_clock,length,rating,architecture,year,power_consumption,average_price
GeForce RTX 4070 Ti,12.0,2310.0,2640.0,2640.0,305.0,82.62,Ada Lovelace,2023,285,95199.0447761194
GeForce RTX 4070,12.0,1920.0,2490.0,2490.0,261.0,70.04,Ada Lovelace,2023,200,80861.27692307692
GeForce RTX 4090,24.0,2235.0,2640.0,2640.0,358.0,100.0,Ada Lovelace,2022,450,260000.0
Radeon RX 6600,8.0,1626.0,,,269.0,39.38,RDNA 2.0,2021,132,35546.67272727273
Radeon RX 6800 XT,16.0,1825.0,2250.0,2250.0,340.0,65.0,RDNA 2.0,2020,300,100541.47368421052
Radeon RX 6950 XT,16.0,2009.0,2368.0,2368.0,340.0,73.21,RDNA 2.0,2022,335,72817.5
Radeon RX 6600,8.0,1626.0,2491.0,2491.0,282.0,39.38,RDNA 2.0,2021,132,35546.67272727273
GeForce RTX 4070,12.0,1920.0,,,308.0,70.04,Ada Lovelace,2023,200,80861.27692307692
Radeon RX 6700 XT,12.0,2321.0,,,247.0,51.62,RDNA 2.0,2021,230,67413.57142857143
GeForce RTX 4090,24.0,2230.0,2520.0,2520.0,304.0,100.0,Ada Lovelace,2022,450,260000.0
Radeon RX 7900 XTX,24.0,2300.0,2615.0,2615.0,344.0,80.65,RDNA 3.0,2022,355,113740.7
GeForce RTX 3060 Ti,8.0,1410.0,1710.0,1710.0,230.0,53.15,Ampere,2020,200,47190.90540540541
GeForce RTX 4060 Ti,8.0,2310.0,,,272.0,59.35,Ada Lovelace,2023,160,47786.545454545456
Radeon RX 6700 XT,12.0,2321.0,2581.0,2581.0,260.0,51.62,RDNA 2.0,2021,230,67413.57142857143
GeForce RTX 4070,12.0,2475.0,2505.0,2505.0,267.0,70.04,Ada Lovelace,2023,200,80861.27692307692
Radeon RX 6700 XT,12.0,2321.0,2581.0,2581.0,304.0,51.62,RDNA 2.0,2021,230,67413.57142857143
Radeon RX 6600 XT,8.0,1968.0,2602.0,2602.0,235.0,42.95,RDNA 2.0,2021,160,38651.90625
GeForce RTX 4070,12.0,2520.0,2550.0,2550.0,267.0,70.04,Ada Lovelace,2023,200,80861.27692307692
GeForce RTX 4080,16.0,2205.0,2535.0,2535.0,348.0,89.97,Ada Lovelace,2022,320,131353.42253521126
