name,price,price_per_gb,color,first_word_latency,cas_latency,speed_num,speed_value,modules_num,modules_value
Corsair Vengeance LPX 16 GB,3999.0,249.9,Black / Yellow,10.0,16.0,4,3200,2,8
Corsair Vengeance RGB Pro 32 GB,10498.0,328.1,Black,10.0,18.0,4,3600,2,16
Corsair Vengeance 32 GB,9299.0,290.6,Black,12.857,36.0,5,5600,2,16
Corsair Vengeance LPX 32 GB,6798.0,212.4,Black / Yellow,10.0,18.0,4,3600,2,16
G.Skill Trident Z5 RGB 32 GB,10499.0,328.1,Black,12.0,36.0,5,6000,2,16
Corsair Vengeance RGB Pro 16 GB,5699.0,356.2,Black,10.0,16.0,4,3200,2,8
G.Skill Trident Z5 RGB 64 GB,22999.0,359.4,Black / Silver,10.0,32.0,5,6400,2,32
Silicon Power GAMING 16 GB,2997.0,187.3,Black / Gray,10.0,16.0,4,3200,2,8
Corsair Vengeance 32 GB,9799.0,306.2,Black,12.0,36.0,5,6000,2,16
G.Skill Ripjaws V 32 GB,6399.0,200.0,Black,10.0,16.0,4,3200,2,16
Corsair Vengeance LPX 16 GB,4199.0,262.40000000000003,Black,10.0,18.0,4,3600,2,8
Corsair Vengeance RGB Pro SL 32 GB,7798.999999999999,243.7,White / Black,10.0,18.0,4,3600,2,16
Corsair Vengeance RGB 32 GB,10299.0,321.8,White,12.0,36.0,5,6000,2,16
G.Skill Trident Z5 RGB 32 GB,11999.0,375.0,Black,10.0,32.0,5,6400,2,16
G.Skill Flare X5 32 GB,9499.0,296.8,Black,12.0,36.0,5,6000,2,16
G.Skill Ripjaws S5 32 GB,9799.0,306.2,Black,10.0,30.0,5,6000,2,16
Corsair Vengeance LPX 32 GB,6299.0,196.8,Black / Yellow,10.0,16.0,4,3200,2,16
Silicon Power GAMING 32 GB,4897.0,153.0,Black,10.0,16.0,4,3200,2,16
TEAMGROUP T-Force Vulcan Z 16 GB,3399.0,212.4,Black,10.0,16.0,4,3200,2,8
G.Skill Ripjaws V 16 GB,4899.0,306.2,Black,8.889,16.0,4,3600,2,8
Corsair Vengeance RGB Pro 16 GB,6498.0,406.1,White,10.0,16.0,4,3200,2,8
Corsair Vengeance RGB 32 GB,9799.0,306.2,Black,15.385,40.0,5,5200,2,16
G.Skill Trident Z5 Neo RGB 32 GB,11699.0,365.6,Black,10.0,30.0,5,6000,2,16
G.Skill Ripjaws V 64 GB,193768.0,3027.6,Black,8.75,14.0,4,3200,4,16
Corsair Vengeance 64 GB,25999.0,406.20000000000005,Black / Gray,9.697,32.0,5,6600,2,32
Kingston FURY Beast 16 GB,4775.0,298.4,Black,10.0,16.0,4,3200,2,8
G.Skill Trident Z RGB 32 GB,8199.0,256.2,Black,10.0,16.0,4,3200,2,16
G.Skill Trident Z RGB 16 GB,5999.0,374.90000000000003,Black,10.0,18.0,4,3600,2,8
Corsair Vengeance 64 GB,16499.0,257.8,Black,15.385,40.0,5,5200,2,32
G.Skill Ripjaws V 32 GB,8699.0,271.8,Black,8.889,16.0,4,3600,2,16
Corsair Vengeance RGB 32 GB,10299.0,321.8,Black,13.333,40.0,5,6000,2,16
G.Skill Trident Z5 Neo 64 GB,22499.0,351.5,Black / Silver,10.0,30.0,5,6000,2,32
TEAMGROUP T-Force Vulcan Z 32 GB,5799.0,181.20000000000002,Black,10.0,18.0,4,3600,2,16
TEAMGROUP T-Force Delta RGB 16 GB,4699.0,293.7,Black,10.0,18.0,4,3600,2,8
Corsair Dominator Platinum RGB 32 GB,16999.0,531.2,White,11.613,36.0,5,6200,2,16
Corsair Vengeance LPX 64 GB,12799.0,200.0,Black / Yellow,10.0,16.0,4,3200,2,32
G.Skill Ripjaws S5 32 GB,9999.0,312.5,Black,10.0,28.0,5,5600,2,16
