name,price,socket,form_factor,max_memory,memory_slots,color
MSI MAG B550 TOMAHAWK,16999.0,AM4,ATX,128,4,Black / Silver
MSI B550-A PRO,13999.0,AM4,ATX,128,4,Black / Silver
MSI B550M PRO-VDH WIFI,11999.0,AM4,Micro ATX,128,4,Black
Gigabyte Z790 AORUS ELITE AX,23999.0,LGA1700,ATX,128,4,Black
Asus Prime B450M-A II,7998.999999999999,AM4,Micro ATX,128,4,
MSI MAG B660 TOMAHAWK WIFI DDR4,18999.0,LGA1700,ATX,128,4,Black / Silver
Gigabyte B650 AORUS ELITE AX,20230.0,AM5,ATX,128,4,Black / Silver
Asus ROG STRIX B550-A GAMING,16999.0,AM4,ATX,128,4,Black / White
MSI MAG Z790 TOMAHAWK WIFI,27679.000000000004,LGA1700,ATX,192,4,Black
MSI MAG B650 TOMAHAWK WIFI,21995.0,AM5,ATX,128,4,Black
Asus TUF GAMING X570-PLUS (WI-FI),19999.0,AM4,ATX,128,4,Black / Gold
Gigabyte B660M DS3H AX DDR4,9999.0,LGA1700,Micro ATX,128,4,Black
Gigabyte B650 GAMING X AX,16999.0,AM5,ATX,128,4,Black / Gray
Gigabyte B550M DS3H,10799.0,AM4,Micro ATX,128,4,Black / Gold
Asus ROG STRIX B550-F GAMING WIFI II,18999.0,AM4,ATX,128,4,Black / Red
MSI B550 GAMING GEN3,11736.0,AM4,ATX,128,4,Black
MSI PRO Z790-P WIFI,21742.0,LGA1700,ATX,128,4,Black / Silver
Gigabyte B450M DS3H WIFI,7998.999999999999,AM4,Micro ATX,64,4,Brown / Black
MSI MAG B660M MORTAR WIFI DDR4,16896.0,LGA1700,Micro ATX,128,4,Silver / Black
Gigabyte B550 AORUS ELITE AX V2,15999.0,AM4,ATX,128,4,Black / Silver
Asus ROG STRIX B650E-F GAMING WIFI,26773.0,AM5,ATX,128,4,Black
ASRock B550M Pro4,10699.0,AM4,Micro ATX,128,4,Silver / Black
Asus ROG STRIX Z690-A GAMING WIFI D4,44271.0,LGA1700,ATX,128,4,Silver / Black
Asus TUF GAMING B550-PLUS WIFI II,16999.0,AM4,ATX,128,4,Black / Gray
MSI B450M PRO-VDH MAX,7998.0,AM4,Micro ATX,64,4,Black / Silver
MSI MPG B550 GAMING PLUS,14999.0,AM4,ATX,128,4,Black
Gigabyte B650I AORUS ULTRA,25999.0,AM5,Mini ITX,64,2,Black / Silver
MSI PRO B760-P WIFI DDR4,16197.999999999998,LGA1700,ATX,128,4,Black
Asus ROG STRIX B760-I GAMING WIFI,21899.0,LGA1700,Mini ITX,64,2,Black
MSI PRO B650-P WIFI,18999.0,AM5,ATX,128,4,Black
MSI PRO B650M-A WIFI,16595.0,AM5,Micro ATX,128,4,Black
MSI PRO B550M-VC WIFI,11861.0,AM4,Micro ATX,128,4,Black
MSI A520M-A PRO,7598.999999999999,AM4,Micro ATX,64,2,Black
MSI MAG Z690 TOMAHAWK WIFI DDR4,23999.0,LGA1700,ATX,128,4,Black / Silver
Asus ROG STRIX Z790-E GAMING WIFI,48514.0,LGA1700,ATX,128,4,Black
Gigabyte A520I AC,10999.0,AM4,Mini ITX,64,2,Black
Asus PRIME Z690-P WIFI D4,19900.0,LGA1700,ATX,128,4,Silver / Black
