,name,price,type,efficiency,wattage,modular,color
0,Corsair RM750e (2023),9999.0,ATX,gold,750,Full,Black
1,Corsair RM850x (2021),14999.0,ATX,gold,850,Full,Black
2,Corsair RM1000x (2021),16999.0,ATX,gold,1000,Full,Black
3,Thermaltake Toughpower GX2,6698.0,ATX,gold,600,False,Black
4,Corsair RM750x (2021),11999.0,ATX,gold,750,Full,Black
5,Corsair RM850,13999.0,ATX,gold,850,Full,White / Black
6,Thermaltake Smart,3999.0,ATX,plus,500,False,
7,Corsair SF750,16349.0,SFX,platinum,750,Full,
8,Corsair RM850e (2023),11999.0,ATX,gold,850,Full,Black
9,Corsair CX650M (2021),7998.0,ATX,bronze,650,Semi,Black
10,Corsair HX1200 Platinum,34699.0,ATX,platinum,1200,Full,
11,Corsair CX750M (2021),8995.0,ATX,bronze,750,Semi,Black
12,Corsair RM1000e (2023),15999.0,ATX,gold,1000,Full,Black
14,Gigabyte UD750GM,9098.0,ATX,gold,750,Full,Black
15,Corsair RM650x (2021),10999.0,ATX,gold,650,Full,Black
16,Cooler Master V850 SFX GOLD,13599.0,SFX,gold,850,Full,Black
17,Corsair RM750,11599.0,ATX,gold,750,Full,White / Black
19,Corsair AX1600i,54999.0,ATX,titanium,1600,Full,
20,NZXT C850 (2022),13899.0,ATX,gold,850,Full,Black
21,MSI A1000G PCIE5,19999.0,ATX,gold,1000,Full,Black
22,EVGA 600 W1,6298.0,ATX,plus,600,False,
23,Thermaltake Smart,4798.0,ATX,plus,600,False,
24,MSI MPG A850G PCIE5,13999.0,ATX,gold,850,Full,Black
25,EVGA SuperNOVA 1000 GT,16999.0,ATX,gold,1000,Full,Black
27,EVGA 500 BR,8488.0,ATX,bronze,500,False,
28,Thermaltake Toughpower GF1 PE,13699.0,ATX,gold,850,Full,Black
29,EVGA SuperNOVA 850 GT,12999.0,ATX,gold,850,Full,Black
30,Thermaltake Toughpower Grand RGB,11299.0,ATX,gold,650,Full,
31,Thermaltake Smart,5495.0,ATX,plus,700,False,
32,Thermaltake Smart,3399.0,ATX,plus,430,False,Black / White
33,EVGA SuperNOVA 750 GT,11999.0,ATX,gold,750,Full,Black
35,EVGA 700 GD,7998.0,ATX,gold,700,False,Black
36,EVGA 600 GD,7998.0,ATX,gold,600,False,Black
37,SeaSonic S12III,6900.0,ATX,bronze,650,False,Black
38,Asus ROG THOR 1600T Gaming,66599.0,ATX,titanium,1600,Full,Silver / Black
39,Lian Li SP,11499.0,SFX,gold,750,Full,Black
40,Apevia Prestige,5199.0,ATX,gold,600,False,Black
41,Corsair SF1000L,17999.0,SFX,gold,1000,Full,Black
42,Cooler Master MWE Gold 850 - V2,11999.0,ATX,gold,850,Full,Black
43,MSI MPG A650GF,10699.0,ATX,gold,650,Full,Black
44,SeaSonic FOCUS Plus 650 Gold,12999.0,ATX,gold,650,Full,
45,EVGA 500 W1,5359.0,ATX,plus,500,False,
46,Silverstone HELA,70700.0,ATX,,2050,Full,Black / White
47,MSI MPG A750GF,12999.0,ATX,gold,750,Full,Black
48,SeaSonic FOCUS PLUS 850 Gold,15999.0,ATX,gold,850,Full,
50,NZXT C750 (2022),12999.0,ATX,gold,750,Full,Black
51,Gigabyte UD850GM,10999.0,ATX,gold,850,Full,Black
52,Corsair HX1500i (2022),34999.0,ATX,platinum,1500,Full,Black
53,EVGA SuperNOVA 750 GM,14900.0,SFX,gold,750,Full,Black
55,EVGA 700 BR,7998.0,ATX,bronze,700,False,
56,Corsair RM750e (2022),18029.0,ATX,gold,750,Full,Black
57,Gigabyte UD1000GM,13499.0,ATX,gold,1000,Full,Black
59,Cooler Master MWE GOLD 750 V2 FULL MODULAR,17100.0,ATX,gold,750,Full,Black
60,Asus TUF Gaming 1000G,16999.0,ATX,gold,1000,Full,Black
61,EVGA SuperNOVA 650 GT,9999.0,ATX,gold,650,Full,Black
63,Cooler Master V550 V2,12599.0,ATX,gold,550,Full,White
64,SeaSonic PRIME TX-1000,33898.0,ATX,titanium,1000,Full,Black
65,be quiet! Straight Power 11,20990.0,ATX,platinum,1000,Full,Black
66,Lian Li SP850,14465.0,SFX,gold,850,Full,White
67,Asus ROG STRIX G,19999.0,ATX,gold,1000,Full,Black
68,MSI MEG Ai1300P PCIE5,32999.0,ATX,platinum,1300,Full,Black / Copper
69,Cooler Master MasterWatt,9999.0,ATX,bronze,750,Semi,Black
70,Corsair HX1000 Platinum,38998.0,ATX,platinum,1000,Full,
71,Apevia Prestige,6698.0,ATX,gold,800,False,Black
72,Phanteks Revolt Pro,12999.0,ATX,gold,850,Full,Silver / Black
73,EVGA SuperNOVA 650 G5,10999.0,ATX,gold,650,Full,Black / Green
74,EVGA SuperNOVA 850 GM,14899.0,SFX,gold,850,Full,Black
75,Cooler Master V750 SFX GOLD,10999.0,SFX,gold,750,Full,Black
76,be quiet! Pure Power 12 M,12850.0,ATX,gold,750,Full,Black
77,Thermaltake Toughpower GF1 PE,10999.0,ATX,gold,750,Full,Black
78,SeaSonic FOCUS Plus 750 Gold,13999.0,ATX,gold,750,Full,
79,Corsair RM850e (2022),32348.0,ATX,gold,850,Full,Black
81,Corsair RM1000e (2022),24999.0,ATX,gold,1000,Full,Black
82,be quiet! Straight Power 11,17490.0,ATX,platinum,850,Full,Black
83,EVGA SuperNOVA 650 GM,12000.0,SFX,gold,650,Full,Black
84,EVGA 600 BR,9378.0,ATX,bronze,600,False,
85,Apevia CAPTAIN,3199.0,ATX,,550,False,Black
86,Asus ROG LOKI,24999.0,SFX,platinum,1000,Full,Silver / Black
87,Asus ROG Strix,37500.0,ATX,gold,850,Full,White
88,Raidmax Cobra,4999.0,ATX,bronze,700,False,
90,be quiet! Straight Power 11,24990.0,ATX,platinum,1200,Full,Black
