model_name,duration,run_id
gpt-3.5-turbo,106.11171317100525,18af623f24d2477d96be9e41744cea77
gpt-4o,122.94263434410095,1c06771c4b2045a99b7b3071d583aa23
gpt-4o-mini,133.901029586792,283ff77ce5ee4f24af923a94b71c9014
gpt-3.5-turbo,10.423281192779541,173bfb5389cb4ea08b562501b5f91ac3
gpt-4o,10.230592489242554,3f8eb596a4b944bdb46de755356cd9f9
gpt-4o-mini,39.122560024261475,51e62825b20348cb83dd6c453e2d45ce
gpt-4o,,135d483a81de496b9aa1e1647d43dc79
gpt-4o-mini,154.63869071006775,ebcf9ded94a6485a8bf55378fcb0579f
gpt-3.5-turbo,134.67353773117065,bd952ea80e8540989811f17fef3b47b5
gpt-4o,127.58797192573547,86e2dcc0f32d40418d3be69ee1df0d8d
gpt-4o-mini,129.77973532676697,c1aaac3c2fac4b81ab966e3c4ba7b7e1
gpt-3.5-turbo,25.40133309364319,1c4bd9a96b2c431da18bd5d374b6c75d
gpt-4o,22.11827063560486,716599b746544649a1824cec9594693c
gpt-4o-mini,17.981060028076172,c6e916c91c7e4729bcb06d3cf7d4f32b
gpt-4o,,f5a7d0e8561b44e3a8749ed6a02a793a
gpt-4o-mini,21.109891653060913,f9e3833073c84e07a0d1694c38c4298e
gpt-4o,,fba171bcde8d4b7e8e81fc098cc90266
gpt-4o-mini,19.255457401275635,99bd85546cc3414db26ea9f9d5cb2e06
gpt-3.5-turbo,,dc251b53f48d4307bb4bc7a095658242
gpt-4o,18.693692445755005,1b2d42ce9f8141b7ae8918d36faae391
gpt-4o-mini,15.645743608474731,d27b4d7170154dabbb95d2523bb6be7a
gpt-4o,,23488b4c96d642d685cc6cb2194f11f2
gpt-4o-mini,16.875696897506714,9d2299e3ddc94dd48958b89f263897e6
